% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 1 Hz, stop freq 1.000 kHz, RBW 4.883 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-06-10 T 16:00:47 +0200
% Frequency (Hz), Input 1 (Vpp)
1.526282479366e+02, 1.668403e-05
1.536216586828e+02, 2.263910e-05
1.546150694291e+02, 2.967690e-05
1.556084801753e+02, 3.686235e-05
1.566018909216e+02, 4.262056e-05
1.575953016678e+02, 4.596721e-05
1.585887124141e+02, 4.670544e-05
1.595821231604e+02, 4.611485e-05
1.605755339066e+02, 4.567191e-05
1.615689446529e+02, 4.572113e-05
1.625623553991e+02, 4.517976e-05
1.635557661454e+02, 4.281742e-05
1.645491768916e+02, 3.833882e-05
1.655425876379e+02, 3.208846e-05
1.665359983842e+02, 2.500144e-05
1.675294091304e+02, 1.752069e-05
1.685228198767e+02, 9.646223e-06
1.695162306229e+02, 2.165479e-06
1.705096413692e+02, 6.398005e-06
1.715030521154e+02, 1.314052e-05
1.724964628617e+02, 1.865265e-05
1.734898736080e+02, 2.254066e-05
1.744832843542e+02, 2.431242e-05
1.754766951005e+02, 2.391870e-05
1.764701058467e+02, 2.258988e-05
1.774635165930e+02, 2.327890e-05
1.784569273392e+02, 2.824965e-05
1.794503380855e+02, 3.548432e-05
1.804437488317e+02, 4.202997e-05
1.814371595780e+02, 4.532741e-05
1.824305703243e+02, 4.385094e-05
1.834239810705e+02, 3.710843e-05
1.844173918168e+02, 2.593653e-05
1.854108025630e+02, 1.338660e-05
1.864042133093e+02, 8.514268e-06
1.873976240555e+02, 1.589658e-05
1.883910348018e+02, 2.288517e-05
1.893844455481e+02, 2.879102e-05
1.903778562943e+02, 3.499217e-05
1.913712670406e+02, 4.104566e-05
1.923646777868e+02, 4.562270e-05
1.933580885331e+02, 4.749288e-05
1.943514992793e+02, 4.685308e-05
1.953449100256e+02, 4.453996e-05
1.963383207719e+02, 4.266977e-05
1.973317315181e+02, 4.266977e-05
1.983251422644e+02, 4.434310e-05
1.993185530106e+02, 4.557348e-05
2.003119637569e+02, 4.409702e-05
2.013053745031e+02, 3.927391e-05
2.022987852494e+02, 3.258061e-05
2.032921959956e+02, 2.623182e-05
2.042856067419e+02, 2.076891e-05
2.052790174882e+02, 1.476463e-05
2.062724282344e+02, 7.628391e-06
2.072658389807e+02, 8.415837e-06
2.082592497269e+02, 1.624109e-05
2.092526604732e+02, 2.135949e-05
2.102460712194e+02, 2.116263e-05
2.112394819657e+02, 1.569972e-05
2.122328927120e+02, 6.398005e-06
2.132263034582e+02, 4.773896e-06
2.142197142045e+02, 1.461698e-05
2.152131249507e+02, 2.224537e-05
2.162065356970e+02, 2.716691e-05
2.171999464432e+02, 2.967690e-05
2.181933571895e+02, 3.021827e-05
2.191867679358e+02, 2.893867e-05
2.201801786820e+02, 2.637947e-05
2.211735894283e+02, 2.288517e-05
2.221670001745e+02, 1.944009e-05
2.231604109208e+02, 1.732383e-05
2.241538216670e+02, 1.688089e-05
2.251472324133e+02, 1.683167e-05
2.261406431595e+02, 1.638874e-05
2.271340539058e+02, 1.594580e-05
2.281274646521e+02, 1.683167e-05
2.291208753983e+02, 1.948931e-05
2.301142861446e+02, 2.283596e-05
2.311076968908e+02, 2.569045e-05
2.321011076371e+02, 2.677319e-05
2.330945183833e+02, 2.559202e-05
2.340879291296e+02, 2.352497e-05
2.350813398759e+02, 2.308203e-05
2.360747506221e+02, 2.578888e-05
2.370681613684e+02, 3.011984e-05
2.380615721146e+02, 3.297433e-05
2.390549828609e+02, 3.253139e-05
2.400483936071e+02, 2.903710e-05
2.410418043534e+02, 2.396791e-05
2.420352150997e+02, 1.934166e-05
2.430286258459e+02, 1.678246e-05
2.440220365922e+02, 1.707775e-05
2.450154473384e+02, 1.870186e-05
2.460088580847e+02, 1.934166e-05
2.470022688309e+02, 1.752069e-05
2.479956795772e+02, 1.363267e-05
2.489890903234e+02, 1.053210e-05
2.499825010697e+02, 1.117190e-05
2.509759118160e+02, 1.318973e-05
2.519693225622e+02, 1.373110e-05
2.529627333085e+02, 1.259915e-05
2.539561440547e+02, 1.195935e-05
2.549495548010e+02, 1.382953e-05
2.559429655472e+02, 1.707775e-05
2.569363762935e+02, 1.998146e-05
2.579297870398e+02, 2.263909e-05
2.589231977860e+02, 2.500143e-05
2.599166085323e+02, 2.697005e-05
2.609100192785e+02, 2.770828e-05
2.619034300248e+02, 2.657633e-05
2.628968407710e+02, 2.391870e-05
2.638902515173e+02, 2.071969e-05
2.648836622636e+02, 1.830814e-05
2.658770730098e+02, 1.619187e-05
2.668704837561e+02, 1.348503e-05
2.678638945023e+02, 1.028602e-05
2.688573052486e+02, 1.013838e-05
2.698507159948e+02, 1.461698e-05
2.708441267411e+02, 2.067048e-05
2.718375374873e+02, 2.593653e-05
2.728309482336e+02, 2.948004e-05
2.738243589799e+02, 3.036592e-05
2.748177697261e+02, 2.824965e-05
2.758111804724e+02, 2.382026e-05
2.768045912186e+02, 1.845578e-05
2.777980019649e+02, 1.368189e-05
2.787914127111e+02, 1.063053e-05
2.797848234574e+02, 9.154068e-06
2.807782342037e+02, 9.547792e-06
2.817716449499e+02, 1.195935e-05
2.827650556962e+02, 1.569972e-05
2.837584664424e+02, 1.973538e-05
2.847518771887e+02, 2.347576e-05
2.857452879349e+02, 2.701927e-05
2.867386986812e+02, 2.987376e-05
2.877321094275e+02, 3.130101e-05
2.887255201737e+02, 3.061199e-05
2.897189309200e+02, 2.726534e-05
2.907123416662e+02, 2.175322e-05
2.917057524125e+02, 1.530600e-05
2.926991631587e+02, 9.597007e-06
2.936925739050e+02, 6.742513e-06
2.946859846512e+02, 7.382313e-06
2.956793953975e+02, 8.809560e-06
2.966728061438e+02, 9.793869e-06
2.976662168900e+02, 1.003995e-05
2.986596276363e+02, 9.941515e-06
2.996530383825e+02, 9.449361e-06
3.006464491288e+02, 8.071329e-06
3.016398598750e+02, 5.315265e-06
3.026332706213e+02, 1.722540e-06
3.036266813676e+02, 1.378032e-06
3.046200921138e+02, 2.411556e-06
3.056135028601e+02, 1.870186e-06
3.066069136063e+02, 3.445079e-06
3.076003243526e+02, 6.693297e-06
3.085937350988e+02, 9.646223e-06
3.095871458451e+02, 1.274679e-05
3.105805565914e+02, 1.673324e-05
3.115739673376e+02, 2.126106e-05
3.125673780839e+02, 2.480457e-05
3.135607888301e+02, 2.618260e-05
3.145541995764e+02, 2.534594e-05
3.155476103226e+02, 2.293439e-05
3.165410210689e+02, 2.091655e-05
3.175344318151e+02, 2.057205e-05
3.185278425614e+02, 2.244223e-05
3.195212533077e+02, 2.564123e-05
3.205146640539e+02, 2.913553e-05
3.215080748002e+02, 3.189159e-05
3.225014855464e+02, 3.297433e-05
3.234948962927e+02, 3.189159e-05
3.244883070389e+02, 2.888945e-05
3.254817177852e+02, 2.485379e-05
3.264751285315e+02, 2.111342e-05
3.274685392777e+02, 1.870186e-05
3.284619500240e+02, 1.811127e-05
3.294553607702e+02, 1.924323e-05
3.304487715165e+02, 2.126106e-05
3.314421822627e+02, 2.357419e-05
3.324355930090e+02, 2.554280e-05
3.334290037553e+02, 2.662554e-05
3.344224145015e+02, 2.618260e-05
3.354158252478e+02, 2.386948e-05
3.364092359940e+02, 1.993225e-05
3.374026467403e+02, 1.569972e-05
3.383960574865e+02, 1.314052e-05
3.393894682328e+02, 1.338659e-05
3.403828789790e+02, 1.515835e-05
3.413762897253e+02, 1.693010e-05
3.423697004716e+02, 1.840657e-05
3.433631112178e+02, 1.958774e-05
3.443565219641e+02, 1.993225e-05
3.453499327103e+02, 1.889872e-05
3.463433434566e+02, 1.742226e-05
3.473367542028e+02, 1.781598e-05
3.483301649491e+02, 2.106420e-05
3.493235756954e+02, 2.534594e-05
3.503169864416e+02, 2.859416e-05
3.513103971879e+02, 3.021827e-05
3.523038079341e+02, 3.051356e-05
3.532972186804e+02, 3.026748e-05
3.542906294266e+02, 3.026748e-05
3.552840401729e+02, 3.085807e-05
3.562774509192e+02, 3.130101e-05
3.572708616654e+02, 3.021827e-05
3.582642724117e+02, 2.677319e-05
3.592576831579e+02, 2.155635e-05
3.602510939042e+02, 1.648717e-05
3.612445046504e+02, 1.392796e-05
3.622379153967e+02, 1.294366e-05
3.632313261429e+02, 1.146719e-05
3.642247368892e+02, 1.013838e-05
3.652181476355e+02, 1.141798e-05
3.662115583817e+02, 1.501070e-05
3.672049691280e+02, 1.899715e-05
3.681983798742e+02, 2.258988e-05
3.691917906205e+02, 2.509986e-05
3.701852013667e+02, 2.539516e-05
3.711786121130e+02, 2.283595e-05
3.721720228593e+02, 1.796363e-05
3.731654336055e+02, 1.245150e-05
3.741588443518e+02, 8.218975e-06
3.751522550980e+02, 6.102712e-06
3.761456658443e+02, 5.315265e-06
3.771390765905e+02, 5.069188e-06
3.781324873368e+02, 5.315265e-06
3.791258980831e+02, 6.594866e-06
3.801193088293e+02, 9.350930e-06
3.811127195756e+02, 1.299287e-05
3.821061303218e+02, 1.604423e-05
3.830995410681e+02, 1.752069e-05
3.840929518143e+02, 1.712697e-05
3.850863625606e+02, 1.609344e-05
3.860797733068e+02, 1.633952e-05
3.870731840531e+02, 1.840657e-05
3.880665947994e+02, 2.076891e-05
3.890600055456e+02, 2.185165e-05
3.900534162919e+02, 2.111342e-05
3.910468270381e+02, 1.865264e-05
3.920402377844e+02, 1.496149e-05
3.930336485306e+02, 1.058132e-05
3.940270592769e+02, 6.250358e-06
3.950204700232e+02, 2.903710e-06
3.960138807694e+02, 5.905850e-07
3.970072915157e+02, 4.232526e-06
3.980007022619e+02, 9.892299e-06
3.989941130082e+02, 1.599501e-05
3.999875237544e+02, 2.086734e-05
4.009809345007e+02, 2.308203e-05
4.019743452470e+02, 2.249145e-05
4.029677559932e+02, 1.953852e-05
4.039611667395e+02, 1.555207e-05
4.049545774857e+02, 1.225464e-05
4.059479882320e+02, 1.112268e-05
4.069413989782e+02, 1.151641e-05
4.079348097245e+02, 1.161484e-05
4.089282204707e+02, 1.063053e-05
4.099216312170e+02, 9.154068e-06
4.109150419633e+02, 8.218975e-06
4.119084527095e+02, 9.006422e-06
4.129018634558e+02, 1.200856e-05
4.138952742020e+02, 1.693010e-05
4.148886849483e+02, 2.229458e-05
4.158820956945e+02, 2.662554e-05
4.168755064408e+02, 2.829887e-05
4.178689171871e+02, 2.623182e-05
4.188623279333e+02, 2.071969e-05
4.198557386796e+02, 1.259915e-05
4.208491494258e+02, 3.592726e-06
4.218425601721e+02, 5.266050e-06
4.228359709183e+02, 1.161484e-05
4.238293816646e+02, 1.530600e-05
4.248227924109e+02, 1.663481e-05
4.258162031571e+02, 1.688089e-05
4.268096139034e+02, 1.702854e-05
4.278030246496e+02, 1.712697e-05
4.287964353959e+02, 1.737304e-05
4.297898461421e+02, 1.865264e-05
4.307832568884e+02, 2.170400e-05
4.317766676346e+02, 2.603496e-05
4.327700783809e+02, 3.016905e-05
4.337634891272e+02, 3.282668e-05
4.347568998734e+02, 3.312198e-05
4.357503106197e+02, 3.085807e-05
4.367437213659e+02, 2.633025e-05
4.377371321122e+02, 2.067048e-05
4.387305428584e+02, 1.466619e-05
4.397239536047e+02, 8.711129e-06
4.407173643510e+02, 2.017832e-06
4.417107750972e+02, 7.480744e-06
4.427041858435e+02, 1.840657e-05
4.436975965897e+02, 3.036591e-05
4.446910073360e+02, 4.158703e-05
4.456844180822e+02, 4.980600e-05
4.466778288285e+02, 5.334951e-05
4.476712395748e+02, 5.152854e-05
4.486646503210e+02, 4.527819e-05
4.496580610673e+02, 3.666549e-05
4.506514718135e+02, 2.849573e-05
4.516448825598e+02, 2.322968e-05
4.526382933060e+02, 2.131028e-05
4.536317040523e+02, 2.101498e-05
4.546251147985e+02, 2.047361e-05
4.556185255448e+02, 1.939087e-05
4.566119362911e+02, 1.825892e-05
4.576053470373e+02, 1.816049e-05
4.585987577836e+02, 1.953852e-05
4.595921685298e+02, 2.131028e-05
4.605855792761e+02, 2.244223e-05
4.615789900223e+02, 2.165478e-05
4.625724007686e+02, 1.816049e-05
4.635658115149e+02, 1.176249e-05
4.645592222611e+02, 4.626249e-06
4.655526330074e+02, 6.201143e-06
4.665460437536e+02, 1.028602e-05
4.675394544999e+02, 1.003995e-05
4.685328652461e+02, 5.413696e-06
4.695262759924e+02, 3.395864e-06
4.705196867386e+02, 9.941515e-06
4.715130974849e+02, 1.417404e-05
4.725065082312e+02, 1.446933e-05
4.734999189774e+02, 1.117190e-05
4.744933297237e+02, 5.708989e-06
4.754867404699e+02, 3.297433e-06
4.764801512162e+02, 7.037805e-06
4.774735619624e+02, 9.449360e-06
4.784669727087e+02, 9.744653e-06
4.794603834550e+02, 9.055637e-06
4.804537942012e+02, 8.218975e-06
4.814472049475e+02, 7.677605e-06
4.824406156937e+02, 8.366621e-06
4.834340264400e+02, 1.171327e-05
4.844274371862e+02, 1.732383e-05
4.854208479325e+02, 2.303282e-05
4.864142586788e+02, 2.667476e-05
4.874076694250e+02, 2.677319e-05
4.884010801713e+02, 2.362340e-05
4.893944909175e+02, 1.889872e-05
4.903879016638e+02, 1.510913e-05
4.913813124100e+02, 1.417404e-05
4.923747231563e+02, 1.545364e-05
4.933681339025e+02, 1.668403e-05
4.943615446488e+02, 1.663481e-05
4.953549553951e+02, 1.515835e-05
4.963483661413e+02, 1.343581e-05
