position_mm,intensity
-23.022448175729,0.0423967193014263
-22.926165818311247,0.0427312159712494
-22.829883460893498,0.043069656352736185
-22.733601103475745,0.04341210218094205
-22.637318746057993,0.04375861639315559
-22.541036388640244,0.04410926315683761
-22.44475403122249,0.04446410789831268
-22.348471673804738,0.04482321733223582
-22.25218931638699,0.04518665949185896
-22.155906958969236,0.04555450376012049
-22.059624601551484,0.04592682090158473
-21.963342244133734,0.046303683095256454
-21.86705988671598,0.04668516396829825
-21.77077752929823,0.04707133863067936
-21.67449517188048,0.047462283710783204
-21.578212814462727,0.04785807739200587
-21.481930457044975,0.04825879945037581
-21.385648099627225,0.04866453129322701
-21.289365742209473,0.049075355998958514
-21.19308338479172,0.04949135835791618
-21.09680102737397,0.04991262491443116
-21.000518669956218,0.0503392440100533
-20.904236312538465,0.05077130582801648
-20.807953955120716,0.05120890243897702
-20.711671597702964,0.05165212784806594
-20.61538924028521,0.052101078043296334
-20.51910688286746,0.05255585104537297
-20.42282452544971,0.05301654695894664
-20.326542168031956,0.053483268025363295
-20.230259810614207,0.05395611867695538
-20.133977453196454,0.054435205592927915
-20.0376950957787,0.054920637756890045
-19.941412738360953,0.05541252651608941
-19.8451303809432,0.055910985642404376
-19.748848023525447,0.05641613139515256
-19.652565666107698,0.056928082585779305
-19.556283308689945,0.05744696064448673
-19.460000951272196,0.05797288968886982
-19.363718593854443,0.058505996594629184
-19.26743623643669,0.05904641106842923
-19.17115387901894,0.05959426572297588
-19.07487152160119,0.06014969615439114
-18.978589164183436,0.06071284102196117
-18.882306806765683,0.061283842130342325
-18.786024449347934,0.06186284451430868
-18.68974209193018,0.06244999652613081
-18.593459734512432,0.06304544992567596
-18.49717737709468,0.06364935997332699
-18.400895019676927,0.06426188552581735
-18.304612662259178,0.06488318913508606
-18.208330304841425,0.06551343715025915
-18.112047947423672,0.0661527998228687
-18.015765590005923,0.06680145141542415
-17.91948323258817,0.06745957031345773
-17.823200875170418,0.06812733914116542
-17.72691851775267,0.06880494488077593
-17.630636160334916,0.06949257899578043
-17.534353802917163,0.07019043755816368
-17.438071445499414,0.07089872137978181
-17.34178908808166,0.07161763614803762
-17.245506730663912,0.07234739256601097
-17.14922437324616,0.07308820649720871
-17.052942015828407,0.07384029911510148
-16.956659658410658,0.07460389705762782
-16.860377300992905,0.07537923258684653
-16.764094943575152,0.07616654375393128
-16.667812586157403,0.07696607456970384
-16.57153022873965,0.07777807518091617
-16.475247871321898,0.07860280205249481
-16.37896551390415,0.07944051815597253
-16.282683156486396,0.08029149316434192
-16.186400799068643,0.08115600365357212
-16.090118441650894,0.08203433331104348
-15.993836084233141,0.08292677315116237
-15.897553726815389,0.08383362173843101
-15.801271369397638,0.08475518541825766
-15.704989011979887,0.08569177855580445
-15.608706654562134,0.08664372378318164
-15.512424297144383,0.08761135225531225
-15.416141939726632,0.08859500391480024
-15.31985958230888,0.08959502776615413
-15.223577224891129,0.0906117821597281
-15.127294867473378,0.09164563508576029
-15.031012510055625,0.09269696447890285
-14.934730152637874,0.09376615853365422
-14.838447795220123,0.09485361603112274
-14.74216543780237,0.09595974667756568
-14.64588308038462,0.09708497145516903
-14.549600722966868,0.09822972298555077
-14.453318365549116,0.09939444590649105
-14.357036008131365,0.10057959726241306
-14.260753650713614,0.10178564690916059
-14.164471293295863,0.10301307793363945
-14.06818893587811,0.10426238708891544
-13.97190657846036,0.1055340852453831
-13.875624221042608,0.10682869785864557
-13.779341863624856,0.1081467654547742
-13.683059506207105,0.10948884413363924
-13.586777148789354,0.11085550609103423
-13.490494791371601,0.11224734016034477
-13.39421243395385,0.11366495237454144
-13.2979300765361,0.11510896654930869
-13.201647719118347,0.11658002488815267
-13.105365361700596,0.11807878861036436
-13.009083004282845,0.11960593860274771
-12.912800646865092,0.12116217609605784
-12.816518289447341,0.12274822336712954
-12.72023593202959,0.12436482446771435
-12.623953574611837,0.12601274598107937
-12.527671217194086,0.12769277780746224
-12.431388859776336,0.12940573397951305
-12.335106502358583,0.1311524535088966
-12.238824144940832,0.13293380126526377
-12.142541787523081,0.13475066888884701
-12.046259430105328,0.1366039757379699
-11.949977072687577,0.13849466987280612
-11.853694715269826,0.14042372907675893
-11.757412357852076,0.1423921619168761
-11.661130000434323,0.14440100884475093
-11.564847643016572,0.14645134333939913
-11.468565285598821,0.14854427309363738
-11.372282928181068,0.15068094124552256
-11.276000570763317,0.15286252765644082
-11.179718213345566,0.15509025023746692
-11.083435855927814,0.1573653663256327
-10.987153498510063,0.1596891741117652
-10.890871141092312,0.16206301412156798
-10.794588783674559,0.16448827075162187
-10.698306426256808,0.16696637386197866
-10.602024068839057,0.16949880042701304
-10.505741711421305,0.17208707624616504
-10.409459354003554,0.17473277771617357
-10.313176996585803,0.17743753366634696
-10.21689463916805,0.18020302725834125
-10.120612281750299,0.1830309979518271
-10.024329924332548,0.18592324353730827
-9.928047566914795,0.1888816222372095
-9.831765209497044,0.1919080548761748
-9.735482852079294,0.19500452712130512
-9.63920049466154,0.1981730917928075
-9.54291813724379,0.2014158712452272
-9.446635779826039,0.20473505981907636
-9.350353422408288,0.20813292636225222
-9.254071064990535,0.21161181682014973
-9.157788707572784,0.21517415689280184
-9.061506350155033,0.21882245475671847
-8.96522399273728,0.22255930384832656
-8.86894163531953,0.22638738570503314
-8.772659277901779,0.23030947285890702
-8.676376920484026,0.2343284317768104
-8.580094563066275,0.238447225839455
-8.483812205648524,0.24266891835032955
-8.387529848230772,0.24699667556366645
-8.29124749081302,0.2514337697186094
-8.19496513339527,0.2559835820644353
-8.098682775977517,0.26064960585906116
-8.002400418559766,0.26543544932007235
-7.906118061142015,0.27034483850410784
-7.8098357037242625,0.275381620086559
-7.713553346306512,0.280549764009143
-7.617270988888761,0.28585336595790767
-7.520988631471008,0.29129664962855495
-7.424706274053257,0.29688396872953693
-7.328423916635506,0.30261980866608384
-7.232141559217753,0.30850878784006974
-7.135859201800002,0.3145556584912713
-7.0395768443822515,0.3207653069950105
-6.943294486964501,0.3271427535192212
-6.847012129546748,0.33369315093049257
-6.750729772128995,0.34042178282341884
-6.654447414711246,0.3473340605304275
-6.558165057293493,0.35443551894993197
-6.461882699875741,0.36173181100890983
-6.3656003424579914,0.3692287005515824
-6.269317985040239,0.3769320534184615
-6.173035627622486,0.3848478264492996
-6.076753270204737,0.39298205410915177
-5.980470912786984,0.4013408323983906
-5.8841885553692315,0.4099302996648183
-5.787906197951482,0.4187566138885932
-5.69162384053373,0.42782592595814584
-5.5953414831159805,0.43714434839731475
-5.499059125698228,0.4467179189402579
-5.402776768280475,0.4565525582810771
-5.306494410862726,0.46665402124948197
-5.210212053444973,0.47702784058224035
-5.1139296960272205,0.48767926237298465
-5.017647338609471,0.4986131721908522
-4.921364981191719,0.5098340107625189
-4.825082623773966,0.5213456780142531
-4.728800266356217,0.5331514241732429
-4.632517908938464,0.5452537265342745
-4.536235551520711,0.5576541504139577
-4.439953194102962,0.5703531927469865
-4.3436708366852095,0.5833501067365272
-4.247388479267457,0.5966427059658974
-4.151106121849708,0.610227146426997
-4.054823764431955,0.6240976850428305
-3.958541407014202,0.638246413482922
-3.862259049596453,0.6526629664243921
-3.7659766921787003,0.6673342039390033
-3.6696943347609476,0.6822438684385561
-3.5734119773431985,0.6973722176497603
-3.477129619925446,0.712695636489834
-3.380847262507693,0.7281862325638574
-3.284564905089944,0.7438114224059962
-3.188282547672191,0.7595335186525058
-3.0920001902544385,0.775309332185747
-2.9957178328366894,0.791089808044745
-2.8994354754189366,0.8068197196619454
-2.803153118001184,0.8224374528194363
-2.706870760583435,0.837874918603065
-2.610588403165682,0.8530576434153531
-2.5143060457479294,0.8679050934165613
-2.41802368833018,0.8823312998984842
-2.3217413309124275,0.8962458598861036
-2.225458973494675,0.9095553908883945
-2.1291766160769257,0.9221655175181173
-2.032894258659173,0.9339834569865542
-1.9366119012414202,0.9449212454586261
-1.840329543823671,0.9548996021584957
-1.7440471864059184,0.963852356780412
-1.6477648289881657,0.9717312629599818
-1.5514824715704165,0.9785108845200681
-1.4552001141526638,0.9841930776621828
-1.358917756734911,0.9888104202272991
-1.262635399317162,0.992427797539204
-1.1663530418994092,0.9951413071425764
-1.0700706844816565,0.9970737789699812
-0.9737883270639074,0.9983666149916364
-0.8775059696461547,0.9991683849518681
-0.7812236122284055,0.9996216084110575
-0.6849412548106528,0.9998501437010319
-0.5886588973929001,0.9999501031246568
-0.49237653997515096,0.9999866623290754
-0.39609418255739826,0.9999973116182589
-0.29981182513964555,0.9999996253160175
-0.2035294677218964,0.9999999680608757
-0.10724711030414369,0.9999999986066863
-0.010964752886390983,0.9999999999761836
0.08531760453135817,0.9999999999998946
0.18159996194911088,0.9999999999999999
0.2778823193668636,1.0
0.37416467678461274,1.0
0.47044703420236544,1.0
0.5667293916201182,1.0
0.6630117490378673,1.0
0.75929410645562,1.0
0.8555764638733727,1.0
0.9518588212911219,1.0
1.0481411787088746,1.0
1.1444235361266273,1.0
1.2407058935443764,1.0
1.3369882509621291,1.0
1.4332706083798818,1.0
1.529552965797631,1.0
1.6258353232153837,1.0
1.7221176806331364,1.0
1.8184000380508856,0.9999999999999999
1.9146823954686383,0.9999999999998946
2.010964752886391,0.9999999999761836
2.10724711030414,0.9999999986066863
2.203529467721893,0.9999999680608757
2.2998118251396455,0.9999996253160175
2.3960941825573947,0.9999973116182589
2.4923765399751474,0.9999866623290754
2.5886588973929,0.9999501031246568
2.6849412548106493,0.9998501437010319
2.781223612228402,0.9996216084110575
2.8775059696461547,0.9991683849518681
2.973788327063904,0.9983666149916365
3.0700706844816565,0.9970737789699812
3.1663530418994092,0.9951413071425764
3.2626353993171584,0.9924277975392041
3.358917756734911,0.9888104202272991
3.455200114152664,0.9841930776621828
3.551482471570413,0.9785108845200682
3.6477648289881657,0.9717312629599818
3.7440471864059184,0.963852356780412
3.8403295438236675,0.954899602158496
3.9366119012414202,0.9449212454586261
4.032894258659173,0.9339834569865542
4.129176616076922,0.9221655175181177
4.225458973494675,0.9095553908883945
4.321741330912424,0.8962458598861041
