meetbereik(hw50),f1(cm),f2(cm),r_d(um),offset(mm),sens(/mm),linear_range(mm)
1 mm,13.5,10.0,133.209,0.745984,0.984719,6.39008
1 mm,13.5,10.5,126.865,0.822447,0.984719,6.39008
1 mm,13.5,11.0,121.099,0.902641,0.984719,6.39008
1 mm,13.5,11.5,115.834,0.986564,0.984719,6.39008
1 mm,13.5,12.0,111.007,1.07422,0.984719,6.39008
1 mm,13.5,12.5,106.567,1.1656,0.984719,6.39008
1 mm,13.5,13.0,102.468,1.26071,0.984719,6.39008
1 mm,13.5,13.5,98.6731,1.35956,0.984719,6.39008
1 mm,13.5,14.0,95.1491,1.46213,0.984719,6.39008
1 mm,13.5,14.5,91.8681,1.56843,0.984719,6.39008
1 mm,13.5,15.0,88.8058,1.67846,0.984719,6.39008
1 mm,14.0,2.0,666.044,0.027746,0.984719,6.39008
1 mm,14.0,2.5,532.835,0.0433532,0.984719,6.39008
1 mm,14.0,3.0,444.029,0.0624286,0.984719,6.39008
1 mm,14.0,3.5,380.596,0.0849722,0.984719,6.39008
1 mm,14.0,4.0,333.022,0.110984,0.984719,6.39008
1 mm,14.0,4.5,296.019,0.140464,0.984719,6.39008
1 mm,14.0,5.0,266.417,0.173413,0.984719,6.39008
1 mm,14.0,5.5,242.198,0.209829,0.984719,6.39008
1 mm,14.0,6.0,222.015,0.249714,0.984719,6.39008
1 mm,14.0,6.5,204.937,0.293068,0.984719,6.39008
1 mm,14.0,7.0,190.298,0.339889,0.984719,6.39008
1 mm,14.0,7.5,177.612,0.390179,0.984719,6.39008
1 mm,14.0,8.0,166.511,0.443937,0.984719,6.39008
1 mm,14.0,8.5,156.716,0.501163,0.984719,6.39008
1 mm,14.0,9.0,148.01,0.561857,0.984719,6.39008
1 mm,14.0,9.5,140.22,0.62602,0.984719,6.39008
1 mm,14.0,10.0,133.209,0.693651,0.984719,6.39008
1 mm,14.0,10.5,126.865,0.76475,0.984719,6.39008
1 mm,14.0,11.0,121.099,0.839318,0.984719,6.39008
1 mm,14.0,11.5,115.834,0.917353,0.984719,6.39008
1 mm,14.0,12.0,111.007,0.998857,0.984719,6.39008
1 mm,14.0,12.5,106.567,1.08383,0.984719,6.39008
1 mm,14.0,13.0,102.468,1.17227,0.984719,6.39008
1 mm,14.0,13.5,98.6731,1.26418,0.984719,6.39008
1 mm,14.0,14.0,95.1491,1.35956,0.984719,6.39008
1 mm,14.0,14.5,91.8681,1.4584,0.984719,6.39008
1 mm,14.0,15.0,88.8058,1.56071,0.984719,6.39008
1 mm,14.5,2.0,666.044,0.0258655,0.984719,6.39008
1 mm,14.5,2.5,532.835,0.0404149,0.984719,6.39008
1 mm,14.5,3.0,444.029,0.0581974,0.984719,6.39008
1 mm,14.5,3.5,380.596,0.0792131,0.984719,6.39008
1 mm,14.5,4.0,333.022,0.103462,0.984719,6.39008
1 mm,14.5,4.5,296.019,0.130944,0.984719,6.39008
1 mm,14.5,5.0,266.417,0.161659,0.984719,6.39008
1 mm,14.5,5.5,242.198,0.195608,0.984719,6.39008
1 mm,14.5,6.0,222.015,0.23279,0.984719,6.39008
1 mm,14.5,6.5,204.937,0.273204,0.984719,6.39008
1 mm,14.5,7.0,190.298,0.316853,0.984719,6.39008
1 mm,14.5,7.5,177.612,0.363734,0.984719,6.39008
1 mm,14.5,8.0,166.511,0.413848,0.984719,6.39008
1 mm,14.5,8.5,156.716,0.467196,0.984719,6.39008
1 mm,14.5,9.0,148.01,0.523777,0.984719,6.39008
1 mm,14.5,9.5,140.22,0.583591,0.984719,6.39008
1 mm,14.5,10.0,133.209,0.646638,0.984719,6.39008
1 mm,14.5,10.5,126.865,0.712918,0.984719,6.39008
1 mm,14.5,11.0,121.099,0.782432,0.984719,6.39008
1 mm,14.5,11.5,115.834,0.855178,0.984719,6.39008
1 mm,14.5,12.0,111.007,0.931158,0.984719,6.39008
1 mm,14.5,12.5,106.567,1.01037,0.984719,6.39008
1 mm,14.5,13.0,102.468,1.09282,0.984719,6.39008
1 mm,14.5,13.5,98.6731,1.1785,0.984719,6.39008
1 mm,14.5,14.0,95.1491,1.26741,0.984719,6.39008
1 mm,14.5,14.5,91.8681,1.35956,0.984719,6.39008
1 mm,14.5,15.0,88.8058,1.45494,0.984719,6.39008
1 mm,15.0,2.0,666.044,0.0241699,0.984719,6.39008
1 mm,15.0,2.5,532.835,0.0377654,0.984719,6.39008
1 mm,15.0,3.0,444.029,0.0543822,0.984719,6.39008
1 mm,15.0,3.5,380.596,0.0740203,0.984719,6.39008
1 mm,15.0,4.0,333.022,0.0966795,0.984719,6.39008
1 mm,15.0,4.5,296.019,0.12236,0.984719,6.39008
1 mm,15.0,5.0,266.417,0.151062,0.984719,6.39008
1 mm,15.0,5.5,242.198,0.182785,0.984719,6.39008
1 mm,15.0,6.0,222.015,0.217529,0.984719,6.39008
1 mm,15.0,6.5,204.937,0.255294,0.984719,6.39008
1 mm,15.0,7.0,190.298,0.296081,0.984719,6.39008
1 mm,15.0,7.5,177.612,0.339889,0.984719,6.39008
1 mm,15.0,8.0,166.511,0.386718,0.984719,6.39008
1 mm,15.0,8.5,156.716,0.436569,0.984719,6.39008
1 mm,15.0,9.0,148.01,0.48944,0.984719,6.39008
1 mm,15.0,9.5,140.22,0.545333,0.984719,6.39008
1 mm,15.0,10.0,133.209,0.604247,0.984719,6.39008
1 mm,15.0,10.5,126.865,0.666182,0.984719,6.39008
1 mm,15.0,11.0,121.099,0.731139,0.984719,6.39008
1 mm,15.0,11.5,115.834,0.799117,0.984719,6.39008
1 mm,15.0,12.0,111.007,0.870116,0.984719,6.39008
1 mm,15.0,12.5,106.567,0.944136,0.984719,6.39008
1 mm,15.0,13.0,102.468,1.02118,0.984719,6.39008
1 mm,15.0,13.5,98.6731,1.10124,0.984719,6.39008
1 mm,15.0,14.0,95.1491,1.18432,0.984719,6.39008
1 mm,15.0,14.5,91.8681,1.27043,0.984719,6.39008
1 mm,15.0,15.0,88.8058,1.35956,0.984719,6.39008
