meetbereik(hw50),f1(cm),f2(cm),r_d(um),offset(mm),sens(/mm),linear_range(mm)
1 um,10.0,7.0,0.190298,0.000666182,984.719,0.00639008
1 um,10.0,7.5,0.177612,0.00076475,984.719,0.00639008
1 um,10.0,8.0,0.166511,0.000870116,984.719,0.00639008
1 um,10.0,8.5,0.156716,0.000982279,984.719,0.00639008
1 um,10.0,9.0,0.14801,0.00110124,984.719,0.00639008
1 um,10.0,9.5,0.14022,0.001227,984.719,0.00639008
1 um,10.0,10.0,0.133209,0.00135956,984.719,0.00639008
1 um,10.0,10.5,0.126865,0.00149891,984.719,0.00639008
1 um,10.0,11.0,0.121099,0.00164506,984.719,0.00639008
1 um,10.0,11.5,0.115834,0.00179801,984.719,0.00639008
1 um,10.0,12.0,0.111007,0.00195776,984.719,0.00639008
1 um,10.0,12.5,0.106567,0.00212431,984.719,0.00639008
1 um,10.0,13.0,0.102468,0.00229765,984.719,0.00639008
1 um,10.0,13.5,0.0986731,0.00247779,984.719,0.00639008
1 um,10.0,14.0,0.0951491,0.00266473,984.719,0.00639008
1 um,10.0,14.5,0.0918681,0.00285847,984.719,0.00639008
1 um,10.0,15.0,0.0888058,0.003059,984.719,0.00639008
1 um,10.5,2.0,0.666044,4.93263e-05,984.719,0.00639008
1 um,10.5,2.5,0.532835,7.70723e-05,984.719,0.00639008
1 um,10.5,3.0,0.444029,0.000110984,984.719,0.00639008
1 um,10.5,3.5,0.380596,0.000151062,984.719,0.00639008
1 um,10.5,4.0,0.333022,0.000197305,984.719,0.00639008
1 um,10.5,4.5,0.296019,0.000249714,984.719,0.00639008
1 um,10.5,5.0,0.266417,0.000308289,984.719,0.00639008
1 um,10.5,5.5,0.242198,0.00037303,984.719,0.00639008
1 um,10.5,6.0,0.222015,0.000443937,984.719,0.00639008
1 um,10.5,6.5,0.204937,0.000521009,984.719,0.00639008
1 um,10.5,7.0,0.190298,0.000604247,984.719,0.00639008
1 um,10.5,7.5,0.177612,0.000693651,984.719,0.00639008
1 um,10.5,8.0,0.166511,0.000789221,984.719,0.00639008
1 um,10.5,8.5,0.156716,0.000890956,984.719,0.00639008
1 um,10.5,9.0,0.14801,0.000998857,984.719,0.00639008
1 um,10.5,9.5,0.14022,0.00111292,984.719,0.00639008
1 um,10.5,10.0,0.133209,0.00123316,984.719,0.00639008
1 um,10.5,10.5,0.126865,0.00135956,984.719,0.00639008
1 um,10.5,11.0,0.121099,0.00149212,984.719,0.00639008
1 um,10.5,11.5,0.115834,0.00163085,984.719,0.00639008
1 um,10.5,12.0,0.111007,0.00177575,984.719,0.00639008
1 um,10.5,12.5,0.106567,0.00192681,984.719,0.00639008
1 um,10.5,13.0,0.102468,0.00208404,984.719,0.00639008
1 um,10.5,13.5,0.0986731,0.00224743,984.719,0.00639008
1 um,10.5,14.0,0.0951491,0.00241699,984.719,0.00639008
1 um,10.5,14.5,0.0918681,0.00259271,984.719,0.00639008
1 um,10.5,15.0,0.0888058,0.0027746,984.719,0.00639008
1 um,11.0,2.0,0.666044,4.4944e-05,984.719,0.00639008
1 um,11.0,2.5,0.532835,7.0225e-05,984.719,0.00639008
1 um,11.0,3.0,0.444029,0.000101124,984.719,0.00639008
1 um,11.0,3.5,0.380596,0.000137641,984.719,0.00639008
1 um,11.0,4.0,0.333022,0.000179776,984.719,0.00639008
1 um,11.0,4.5,0.296019,0.000227529,984.719,0.00639008
1 um,11.0,5.0,0.266417,0.0002809,984.719,0.00639008
1 um,11.0,5.5,0.242198,0.000339889,984.719,0.00639008
1 um,11.0,6.0,0.222015,0.000404496,984.719,0.00639008
1 um,11.0,6.5,0.204937,0.000474721,984.719,0.00639008
1 um,11.0,7.0,0.190298,0.000550564,984.719,0.00639008
1 um,11.0,7.5,0.177612,0.000632025,984.719,0.00639008
1 um,11.0,8.0,0.166511,0.000719104,984.719,0.00639008
1 um,11.0,8.5,0.156716,0.000811801,984.719,0.00639008
1 um,11.0,9.0,0.14801,0.000910116,984.719,0.00639008
1 um,11.0,9.5,0.14022,0.00101405,984.719,0.00639008
1 um,11.0,10.0,0.133209,0.0011236,984.719,0.00639008
1 um,11.0,10.5,0.126865,0.00123877,984.719,0.00639008
1 um,11.0,11.0,0.121099,0.00135956,984.719,0.00639008
1 um,11.0,11.5,0.115834,0.00148596,984.719,0.00639008
1 um,11.0,12.0,0.111007,0.00161798,984.719,0.00639008
1 um,11.0,12.5,0.106567,0.00175562,984.719,0.00639008
1 um,11.0,13.0,0.102468,0.00189888,984.719,0.00639008
1 um,11.0,13.5,0.0986731,0.00204776,984.719,0.00639008
1 um,11.0,14.0,0.0951491,0.00220226,984.719,0.00639008
1 um,11.0,14.5,0.0918681,0.00236237,984.719,0.00639008
1 um,11.0,15.0,0.0888058,0.0025281,984.719,0.00639008
1 um,11.5,2.0,0.666044,4.11208e-05,984.719,0.00639008
1 um,11.5,2.5,0.532835,6.42512e-05,984.719,0.00639008
1 um,11.5,3.0,0.444029,9.25218e-05,984.719,0.00639008
1 um,11.5,3.5,0.380596,0.000125932,984.719,0.00639008
1 um,11.5,4.0,0.333022,0.000164483,984.719,0.00639008
1 um,11.5,4.5,0.296019,0.000208174,984.719,0.00639008
1 um,11.5,5.0,0.266417,0.000257005,984.719,0.00639008
1 um,11.5,5.5,0.242198,0.000310976,984.719,0.00639008
1 um,11.5,6.0,0.222015,0.000370087,984.719,0.00639008
1 um,11.5,6.5,0.204937,0.000434338,984.719,0.00639008
1 um,11.5,7.0,0.190298,0.00050373,984.719,0.00639008
1 um,11.5,7.5,0.177612,0.000578261,984.719,0.00639008
1 um,11.5,8.0,0.166511,0.000657933,984.719,0.00639008
1 um,11.5,8.5,0.156716,0.000742744,984.719,0.00639008
1 um,11.5,9.0,0.14801,0.000832696,984.719,0.00639008
1 um,11.5,9.5,0.14022,0.000927788,984.719,0.00639008
1 um,11.5,10.0,0.133209,0.00102802,984.719,0.00639008
1 um,11.5,10.5,0.126865,0.00113339,984.719,0.00639008
1 um,11.5,11.0,0.121099,0.0012439,984.719,0.00639008
1 um,11.5,11.5,0.115834,0.00135956,984.719,0.00639008
1 um,11.5,12.0,0.111007,0.00148035,984.719,0.00639008
1 um,11.5,12.5,0.106567,0.00160628,984.719,0.00639008
1 um,11.5,13.0,0.102468,0.00173735,984.719,0.00639008
1 um,11.5,13.5,0.0986731,0.00187357,984.719,0.00639008
1 um,11.5,14.0,0.0951491,0.00201492,984.719,0.00639008
1 um,11.5,14.5,0.0918681,0.00216141,984.719,0.00639008
1 um,11.5,15.0,0.0888058,0.00231304,984.719,0.00639008
1 um,12.0,2.0,0.666044,3.77654e-05,984.719,0.00639008
1 um,12.0,2.5,0.532835,5.90085e-05,984.719,0.00639008
1 um,12.0,3.0,0.444029,8.49722e-05,984.719,0.00639008
1 um,12.0,3.5,0.380596,0.000115657,984.719,0.00639008
1 um,12.0,4.0,0.333022,0.000151062,984.719,0.00639008
1 um,12.0,4.5,0.296019,0.000191188,984.719,0.00639008
1 um,12.0,5.0,0.266417,0.000236034,984.719,0.00639008
1 um,12.0,5.5,0.242198,0.000285601,984.719,0.00639008
1 um,12.0,6.0,0.222015,0.000339889,984.719,0.00639008
1 um,12.0,6.5,0.204937,0.000398898,984.719,0.00639008
1 um,12.0,7.0,0.190298,0.000462627,984.719,0.00639008
1 um,12.0,7.5,0.177612,0.000531077,984.719,0.00639008
1 um,12.0,8.0,0.166511,0.000604247,984.719,0.00639008
1 um,12.0,8.5,0.156716,0.000682138,984.719,0.00639008
1 um,12.0,9.0,0.14801,0.00076475,984.719,0.00639008
1 um,12.0,9.5,0.14022,0.000852083,984.719,0.00639008
1 um,12.0,10.0,0.133209,0.000944136,984.719,0.00639008
1 um,12.0,10.5,0.126865,0.00104091,984.719,0.00639008
1 um,12.0,11.0,0.121099,0.0011424,984.719,0.00639008
1 um,12.0,11.5,0.115834,0.00124862,984.719,0.00639008
1 um,12.0,12.0,0.111007,0.00135956,984.719,0.00639008
1 um,12.0,12.5,0.106567,0.00147521,984.719,0.00639008
1 um,12.0,13.0,0.102468,0.00159559,984.719,0.00639008
1 um,12.0,13.5,0.0986731,0.00172069,984.719,0.00639008
1 um,12.0,14.0,0.0951491,0.00185051,984.719,0.00639008
1 um,12.0,14.5,0.0918681,0.00198505,984.719,0.00639008
1 um,12.0,15.0,0.0888058,0.00212431,984.719,0.00639008
1 um,12.5,2.0,0.666044,3.48046e-05,984.719,0.00639008
1 um,12.5,2.5,0.532835,5.43822e-05,984.719,0.00639008
1 um,12.5,3.0,0.444029,7.83104e-05,984.719,0.00639008
1 um,12.5,3.5,0.380596,0.000106589,984.719,0.00639008
1 um,12.5,4.0,0.333022,0.000139219,984.719,0.00639008
1 um,12.5,4.5,0.296019,0.000176198,984.719,0.00639008
1 um,12.5,5.0,0.266417,0.000217529,984.719,0.00639008
1 um,12.5,5.5,0.242198,0.00026321,984.719,0.00639008
1 um,12.5,6.0,0.222015,0.000313242,984.719,0.00639008
1 um,12.5,6.5,0.204937,0.000367624,984.719,0.00639008
1 um,12.5,7.0,0.190298,0.000426357,984.719,0.00639008
1 um,12.5,7.5,0.177612,0.00048944,984.719,0.00639008
1 um,12.5,8.0,0.166511,0.000556874,984.719,0.00639008
1 um,12.5,8.5,0.156716,0.000628659,984.719,0.00639008
1 um,12.5,9.0,0.14801,0.000704794,984.719,0.00639008
1 um,12.5,9.5,0.14022,0.00078528,984.719,0.00639008
1 um,12.5,10.0,0.133209,0.000870116,984.719,0.00639008
1 um,12.5,10.5,0.126865,0.000959303,984.719,0.00639008
1 um,12.5,11.0,0.121099,0.00105284,984.719,0.00639008
1 um,12.5,11.5,0.115834,0.00115073,984.719,0.00639008
1 um,12.5,12.0,0.111007,0.00125297,984.719,0.00639008
1 um,12.5,12.5,0.106567,0.00135956,984.719,0.00639008
1 um,12.5,13.0,0.102468,0.0014705,984.719,0.00639008
1 um,12.5,13.5,0.0986731,0.00158579,984.719,0.00639008
1 um,12.5,14.0,0.0951491,0.00170543,984.719,0.00639008
1 um,12.5,14.5,0.0918681,0.00182942,984.719,0.00639008
1 um,12.5,15.0,0.0888058,0.00195776,984.719,0.00639008
1 um,13.0,2.0,0.666044,3.21788e-05,984.719,0.00639008
1 um,13.0,2.5,0.532835,5.02794e-05,984.719,0.00639008
1 um,13.0,3.0,0.444029,7.24024e-05,984.719,0.00639008
1 um,13.0,3.5,0.380596,9.85477e-05,984.719,0.00639008
1 um,13.0,4.0,0.333022,0.000128715,984.719,0.00639008
1 um,13.0,4.5,0.296019,0.000162905,984.719,0.00639008
1 um,13.0,5.0,0.266417,0.000201118,984.719,0.00639008
1 um,13.0,5.5,0.242198,0.000243352,984.719,0.00639008
1 um,13.0,6.0,0.222015,0.00028961,984.719,0.00639008
1 um,13.0,6.5,0.204937,0.000339889,984.719,0.00639008
1 um,13.0,7.0,0.190298,0.000394191,984.719,0.00639008
1 um,13.0,7.5,0.177612,0.000452515,984.719,0.00639008
1 um,13.0,8.0,0.166511,0.000514861,984.719,0.00639008
1 um,13.0,8.5,0.156716,0.00058123,984.719,0.00639008
1 um,13.0,9.0,0.14801,0.000651622,984.719,0.00639008
1 um,13.0,9.5,0.14022,0.000726035,984.719,0.00639008
1 um,13.0,10.0,0.133209,0.000804471,984.719,0.00639008
1 um,13.0,10.5,0.126865,0.000886929,984.719,0.00639008
1 um,13.0,11.0,0.121099,0.00097341,984.719,0.00639008
1 um,13.0,11.5,0.115834,0.00106391,984.719,0.00639008
1 um,13.0,12.0,0.111007,0.00115844,984.719,0.00639008
1 um,13.0,12.5,0.106567,0.00125699,984.719,0.00639008
1 um,13.0,13.0,0.102468,0.00135956,984.719,0.00639008
1 um,13.0,13.5,0.0986731,0.00146615,984.719,0.00639008
1 um,13.0,14.0,0.0951491,0.00157676,984.719,0.00639008
1 um,13.0,14.5,0.0918681,0.0016914,984.719,0.00639008
1 um,13.0,15.0,0.0888058,0.00181006,984.719,0.00639008
1 um,13.5,2.0,0.666044,2.98394e-05,984.719,0.00639008
1 um,13.5,2.5,0.532835,4.6624e-05,984.719,0.00639008
1 um,13.5,3.0,0.444029,6.71386e-05,984.719,0.00639008
1 um,13.5,3.5,0.380596,9.1383e-05,984.719,0.00639008
1 um,13.5,4.0,0.333022,0.000119357,984.719,0.00639008
1 um,13.5,4.5,0.296019,0.000151062,984.719,0.00639008
1 um,13.5,5.0,0.266417,0.000186496,984.719,0.00639008
1 um,13.5,5.5,0.242198,0.00022566,984.719,0.00639008
1 um,13.5,6.0,0.222015,0.000268554,984.719,0.00639008
1 um,13.5,6.5,0.204937,0.000315178,984.719,0.00639008
1 um,13.5,7.0,0.190298,0.000365532,984.719,0.00639008
1 um,13.5,7.5,0.177612,0.000419616,984.719,0.00639008
1 um,13.5,8.0,0.166511,0.00047743,984.719,0.00639008
1 um,13.5,8.5,0.156716,0.000538973,984.719,0.00639008
1 um,13.5,9.0,0.14801,0.000604247,984.719,0.00639008
1 um,13.5,9.5,0.14022,0.000673251,984.719,0.00639008
1 um,13.5,10.0,0.133209,0.000745984,984.719,0.00639008
1 um,13.5,10.5,0.126865,0.000822447,984.719,0.00639008
1 um,13.5,11.0,0.121099,0.000902641,984.719,0.00639008
1 um,13.5,11.5,0.115834,0.000986564,984.719,0.00639008
1 um,13.5,12.0,0.111007,0.00107422,984.719,0.00639008
1 um,13.5,12.5,0.106567,0.0011656,984.719,0.00639008
1 um,13.5,13.0,0.102468,0.00126071,984.719,0.00639008
1 um,13.5,13.5,0.0986731,0.00135956,984.719,0.00639008
1 um,13.5,14.0,0.0951491,0.00146213,984.719,0.00639008
1 um,13.5,14.5,0.0918681,0.00156843,984.719,0.00639008
1 um,13.5,15.0,0.0888058,0.00167846,984.719,0.00639008
1 um,14.0,2.0,0.666044,2.7746e-05,984.719,0.00639008
1 um,14.0,2.5,0.532835,4.33532e-05,984.719,0.00639008
1 um,14.0,3.0,0.444029,6.24286e-05,984.719,0.00639008
1 um,14.0,3.5,0.380596,8.49722e-05,984.719,0.00639008
1 um,14.0,4.0,0.333022,0.000110984,984.719,0.00639008
1 um,14.0,4.5,0.296019,0.000140464,984.719,0.00639008
1 um,14.0,5.0,0.266417,0.000173413,984.719,0.00639008
1 um,14.0,5.5,0.242198,0.000209829,984.719,0.00639008
1 um,14.0,6.0,0.222015,0.000249714,984.719,0.00639008
1 um,14.0,6.5,0.204937,0.000293068,984.719,0.00639008
1 um,14.0,7.0,0.190298,0.000339889,984.719,0.00639008
1 um,14.0,7.5,0.177612,0.000390179,984.719,0.00639008
1 um,14.0,8.0,0.166511,0.000443937,984.719,0.00639008
1 um,14.0,8.5,0.156716,0.000501163,984.719,0.00639008
1 um,14.0,9.0,0.14801,0.000561857,984.719,0.00639008
1 um,14.0,9.5,0.14022,0.00062602,984.719,0.00639008
1 um,14.0,10.0,0.133209,0.000693651,984.719,0.00639008
1 um,14.0,10.5,0.126865,0.00076475,984.719,0.00639008
1 um,14.0,11.0,0.121099,0.000839318,984.719,0.00639008
1 um,14.0,11.5,0.115834,0.000917353,984.719,0.00639008
1 um,14.0,12.0,0.111007,0.000998857,984.719,0.00639008
1 um,14.0,12.5,0.106567,0.00108383,984.719,0.00639008
1 um,14.0,13.0,0.102468,0.00117227,984.719,0.00639008
1 um,14.0,13.5,0.0986731,0.00126418,984.719,0.00639008
1 um,14.0,14.0,0.0951491,0.00135956,984.719,0.00639008
1 um,14.0,14.5,0.0918681,0.0014584,984.719,0.00639008
1 um,14.0,15.0,0.0888058,0.00156071,984.719,0.00639008
1 um,14.5,2.0,0.666044,2.58655e-05,984.719,0.00639008
1 um,14.5,2.5,0.532835,4.04149e-05,984.719,0.00639008
1 um,14.5,3.0,0.444029,5.81974e-05,984.719,0.00639008
1 um,14.5,3.5,0.380596,7.92131e-05,984.719,0.00639008
1 um,14.5,4.0,0.333022,0.000103462,984.719,0.00639008
1 um,14.5,4.5,0.296019,0.000130944,984.719,0.00639008
1 um,14.5,5.0,0.266417,0.000161659,984.719,0.00639008
1 um,14.5,5.5,0.242198,0.000195608,984.719,0.00639008
1 um,14.5,6.0,0.222015,0.00023279,984.719,0.00639008
1 um,14.5,6.5,0.204937,0.000273204,984.719,0.00639008
1 um,14.5,7.0,0.190298,0.000316853,984.719,0.00639008
1 um,14.5,7.5,0.177612,0.000363734,984.719,0.00639008
1 um,14.5,8.0,0.166511,0.000413848,984.719,0.00639008
1 um,14.5,8.5,0.156716,0.000467196,984.719,0.00639008
1 um,14.5,9.0,0.14801,0.000523777,984.719,0.00639008
1 um,14.5,9.5,0.14022,0.000583591,984.719,0.00639008
1 um,14.5,10.0,0.133209,0.000646638,984.719,0.00639008
1 um,14.5,10.5,0.126865,0.000712918,984.719,0.00639008
1 um,14.5,11.0,0.121099,0.000782432,984.719,0.00639008
1 um,14.5,11.5,0.115834,0.000855178,984.719,0.00639008
1 um,14.5,12.0,0.111007,0.000931158,984.719,0.00639008
1 um,14.5,12.5,0.106567,0.00101037,984.719,0.00639008
1 um,14.5,13.0,0.102468,0.00109282,984.719,0.00639008
1 um,14.5,13.5,0.0986731,0.0011785,984.719,0.00639008
1 um,14.5,14.0,0.0951491,0.00126741,984.719,0.00639008
1 um,14.5,14.5,0.0918681,0.00135956,984.719,0.00639008
1 um,14.5,15.0,0.0888058,0.00145494,984.719,0.00639008
1 um,15.0,2.0,0.666044,2.41699e-05,984.719,0.00639008
1 um,15.0,2.5,0.532835,3.77654e-05,984.719,0.00639008
1 um,15.0,3.0,0.444029,5.43822e-05,984.719,0.00639008
1 um,15.0,3.5,0.380596,7.40203e-05,984.719,0.00639008
1 um,15.0,4.0,0.333022,9.66795e-05,984.719,0.00639008
1 um,15.0,4.5,0.296019,0.00012236,984.719,0.00639008
1 um,15.0,5.0,0.266417,0.000151062,984.719,0.00639008
1 um,15.0,5.5,0.242198,0.000182785,984.719,0.00639008
1 um,15.0,6.0,0.222015,0.000217529,984.719,0.00639008
1 um,15.0,6.5,0.204937,0.000255294,984.719,0.00639008
1 um,15.0,7.0,0.190298,0.000296081,984.719,0.00639008
1 um,15.0,7.5,0.177612,0.000339889,984.719,0.00639008
1 um,15.0,8.0,0.166511,0.000386718,984.719,0.00639008
1 um,15.0,8.5,0.156716,0.000436569,984.719,0.00639008
1 um,15.0,9.0,0.14801,0.00048944,984.719,0.00639008
1 um,15.0,9.5,0.14022,0.000545333,984.719,0.00639008
1 um,15.0,10.0,0.133209,0.000604247,984.719,0.00639008
1 um,15.0,10.5,0.126865,0.000666182,984.719,0.00639008
1 um,15.0,11.0,0.121099,0.000731139,984.719,0.00639008
1 um,15.0,11.5,0.115834,0.000799117,984.719,0.00639008
1 um,15.0,12.0,0.111007,0.000870116,984.719,0.00639008
1 um,15.0,12.5,0.106567,0.000944136,984.719,0.00639008
1 um,15.0,13.0,0.102468,0.00102118,984.719,0.00639008
1 um,15.0,13.5,0.0986731,0.00110124,984.719,0.00639008
1 um,15.0,14.0,0.0951491,0.00118432,984.719,0.00639008
1 um,15.0,14.5,0.0918681,0.00127043,984.719,0.00639008
1 um,15.0,15.0,0.0888058,0.00135956,984.719,0.00639008
